public: __cdecl CLibObjectConstraint::CLibObjectConstraint(class CLibObjectConstraint const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectConstraint::CLibObjectConstraint(enum CLibObjectConstraint::EType,class NcDbObjectId const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectConstraints::CLibObjectConstraints(class CLibObjectConstraints const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectConstraints::CLibObjectConstraints(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectUIDObject::CLibObjectUIDObject(class CLibObjectUIDObject const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectUIDObject::CLibObjectUIDObject(wchar_t const * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectUIDRecord::CLibObjectUIDRecord(class CLibObjectUIDRecord const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectUIDRecord::CLibObjectUIDRecord(wchar_t const * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectUIDRegistry::CLibObjectUIDRegistry(class CLibObjectUIDRegistry const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibObjectUIDRegistry::CLibObjectUIDRegistry(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibSaveContext::CLibSaveContext(class CLibSaveContext const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibSaveContext::CLibSaveContext(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibSerializationContext::CLibSerializationContext(class CLibSerializationContext const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibSerializationContext::CLibSerializationContext(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibSubtask::CLibSubtask(class CLibSubtask const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibSubtask::CLibSubtask(wchar_t const * __ptr64,class CElement * __ptr64,class CLibObjectConstraints * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibUID::CLibUID(class CLibUID const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CLibUID::CLibUID(wchar_t const * __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CMStudioObjectLifecycleService::CMStudioObjectLifecycleService(class CMStudioObjectLifecycleService const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CMStudioObjectLifecycleService::CMStudioObjectLifecycleService(void) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CObjectRelationsArray::CObjectRelationsArray(class CObjectRelationsArray const & __ptr64) __ptr64;lcsLibManager.nrx;Exported Function;
public: __cdecl CObjectRelationsArray::CObjectRelationsArray(void) __ptr64;lcsLibManager.nrx;Exported Function;
