"public: static long __cdecl CoElement::_Cache(void * __ptr64,struct _GUID const & __ptr64,void * __ptr64 * __ptr64,unsigned __int64)",UnitsCSCom.dll,Exported Function
public: static long __cdecl CMDSObjects::UpdateRegistry(int),UnitsCSCom.dll,Exported Function
"public: static long __cdecl CMDSObjects::_Cache(void * __ptr64,struct _GUID const & __ptr64,void * __ptr64 * __ptr64,unsigned __int64)",UnitsCSCom.dll,Exported Function
public: static long __cdecl CMDSNodes::UpdateRegistry(int),UnitsCSCom.dll,Exported Function
"public: static long __cdecl CMDSNodes::_Cache(void * __ptr64,struct _GUID const & __ptr64,void * __ptr64 * __ptr64,unsigned __int64)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl CEnumVariantImpl::_Cache(void * __ptr64,struct _GUID const & __ptr64,void * __ptr64 * __ptr64,unsigned __int64)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl ATL::CComCoClass<class CoElementStandalone,&struct _GUID const CLSID_Element>::Error(wchar_t const * __ptr64,unsigned long,wchar_t const * __ptr64,struct _GUID const & __ptr64,long)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl ATL::CComCoClass<class CoElementStandalone,&struct _GUID const CLSID_Element>::Error(wchar_t const * __ptr64,struct _GUID const & __ptr64,long)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl ATL::CComCoClass<class CoElementStandalone,&struct _GUID const CLSID_Element>::Error(unsigned int,unsigned long,wchar_t const * __ptr64,struct _GUID const & __ptr64,long,struct HINSTANCE__ * __ptr64)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl ATL::CComCoClass<class CoElementStandalone,&struct _GUID const CLSID_Element>::Error(unsigned int,struct _GUID const & __ptr64,long,struct HINSTANCE__ * __ptr64)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl ATL::CComCoClass<class CoElementStandalone,&struct _GUID const CLSID_Element>::Error(char const * __ptr64,unsigned long,char const * __ptr64,struct _GUID const & __ptr64,long)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl ATL::CComCoClass<class CoElementStandalone,&struct _GUID const CLSID_Element>::Error(char const * __ptr64,struct _GUID const & __ptr64,long)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl ATL::CComCoClass<class CMDSObjects,&struct _GUID const CLSID_MDSObjects>::Error(wchar_t const * __ptr64,unsigned long,wchar_t const * __ptr64,struct _GUID const & __ptr64,long)",UnitsCSCom.dll,Exported Function
"public: static long __cdecl ATL::CComCoClass<class CMDSObjects,&struct _GUID const CLSID_MDSObjects>::Error(wchar_t const * __ptr64,struct _GUID const & __ptr64,long)",UnitsCSCom.dll,Exported Function
